num_qubits,cx,time
3,4.059701492537314,0.020628878551330318
4,17.5,0.08954653966667624
5,35.34615384615385,0.3717945056538645
6,72.53846153846153,0.6115099529615574
7,101.25641025641026,0.2666955504230897
8,154.80769230769232,0.22408719605129165
9,186.71794871794873,0.1980570495384549
10,223.52564102564102,0.17102698684609022
11,270.5769230769231,0.1764383196922818
12,308.62820512820514,0.11955599867944604
13,356.6666666666667,0.07588828435897686
14,395.2435897435897,0.12780677403845445
15,451.02564102564105,0.08725267002562709
16,492.9102564102564,0.05726677182047537
17,535.7692307692307,0.06820180426920598
18,590.3333333333334,0.07104846964102758
19,633.7692307692307,0.08591818685901946
20,699.8421052631579,0.10694095703941357
