ours,time,num_qubits
4,0.0038998029776848853,3
4,0.0207552170031704,4
8,2.121506192983361,5
13,2.8545551410061307,6
21,0.46048184600658715,7
27,0.04021303600165993,8
38,0.4646859389904421,9
39,0.46494457198423333,10
57,0.007842369988793507,11
58,0.045119363989215344,12
75,0.009799601015402004,13
83,0.3909847479953896,14
110,0.37250960600795224,15
119,0.013532693992601708,16
133,0.014801537996390834,17
159,0.016871628002263606,18
162,0.016449386021122336,19
177,0.01992970099672675,20
