cx,time,num_qubits,cardinality,method
6,0.04608495699994819,3,$m = 2^{n-1}$,n-flow
6,0.11564926199980619,3,$m = 2^{n-1}$,m-flow
4,0.023973741999725462,3,$m = 2^{n-1}$,ours
14,0.048020472999724007,4,$m = 2^{n-1}$,n-flow
36,0.033227836000151,4,$m = 2^{n-1}$,m-flow
8,32.551191364999795,4,$m = 2^{n-1}$,ours
30,0.0473137020003378,5,$m = 2^{n-1}$,n-flow
158,0.09285931699969296,5,$m = 2^{n-1}$,m-flow
31,0.10574892599970553,5,$m = 2^{n-1}$,ours
62,0.05007292099980987,6,$m = 2^{n-1}$,n-flow
446,0.23421957100026702,6,$m = 2^{n-1}$,m-flow
56,0.005975735999982135,6,$m = 2^{n-1}$,ours
126,0.048222906999853876,7,$m = 2^{n-1}$,n-flow
1376,0.6554967889996988,7,$m = 2^{n-1}$,m-flow
120,0.011004804999629414,7,$m = 2^{n-1}$,ours
254,0.05132482999988497,8,$m = 2^{n-1}$,n-flow
3959,1.8215974530003223,8,$m = 2^{n-1}$,m-flow
224,0.0208994860004168,8,$m = 2^{n-1}$,ours
510,0.04806900800031144,9,$m = 2^{n-1}$,n-flow
10713,4.436637202999918,9,$m = 2^{n-1}$,m-flow
454,0.03914591399961864,9,$m = 2^{n-1}$,ours
1022,0.05585073700012799,10,$m = 2^{n-1}$,n-flow
27530,10.875830949999909,10,$m = 2^{n-1}$,m-flow
964,0.07796890899999198,10,$m = 2^{n-1}$,ours
2046,0.05910489799998686,11,$m = 2^{n-1}$,n-flow
71788,27.555123699999967,11,$m = 2^{n-1}$,m-flow
1856,0.15633369399984076,11,$m = 2^{n-1}$,ours
4094,0.07518684200022108,12,$m = 2^{n-1}$,n-flow
181538,67.60990176999985,12,$m = 2^{n-1}$,m-flow
3840,0.3047283350001635,12,$m = 2^{n-1}$,ours
8190,0.12589351099995838,13,$m = 2^{n-1}$,n-flow
436690,168.84846835000008,13,$m = 2^{n-1}$,m-flow
7810,0.6010149889998502,13,$m = 2^{n-1}$,ours
16382,0.31873270899995987,14,$m = 2^{n-1}$,n-flow
1053234,429.6147618499999,14,$m = 2^{n-1}$,m-flow
15400,1.3300498789999438,14,$m = 2^{n-1}$,ours
32766,0.8875153359999786,15,$m = 2^{n-1}$,n-flow
2494216,1184.7132091850003,15,$m = 2^{n-1}$,m-flow
31830,2.7484625320003033,15,$m = 2^{n-1}$,ours
65534,3.124635957999999,16,$m = 2^{n-1}$,n-flow
5810670,3328.069530734,16,$m = 2^{n-1}$,m-flow
63824,6.542316728000515,16,$m = 2^{n-1}$,ours
131070,11.76141030800045,17,$m = 2^{n-1}$,n-flow
6,0.04630376699969929,3,$m = 2^{n-1}$,n-flow
4,0.034160144999987097,3,$m = 2^{n-1}$,ours
14,0.05257015699862677,4,$m = 2^{n-1}$,n-flow
9,43.1616259909988,4,$m = 2^{n-1}$,ours
30,0.048682192000342184,5,$m = 2^{n-1}$,n-flow
24,0.0039034370001900243,5,$m = 2^{n-1}$,ours
62,0.05019720000018424,6,$m = 2^{n-1}$,n-flow
56,0.007010786999671836,6,$m = 2^{n-1}$,ours
126,0.05222184100057348,7,$m = 2^{n-1}$,n-flow
112,0.01329579199955333,7,$m = 2^{n-1}$,ours
254,0.049280346000159625,8,$m = 2^{n-1}$,n-flow
224,0.022469413001090288,8,$m = 2^{n-1}$,ours
510,0.05395524999948975,9,$m = 2^{n-1}$,n-flow
466,0.0397982630001934,9,$m = 2^{n-1}$,ours
1022,0.05854367900064972,10,$m = 2^{n-1}$,n-flow
962,0.07884883400038234,10,$m = 2^{n-1}$,ours
2046,0.06480581000141683,11,$m = 2^{n-1}$,n-flow
1952,0.14880646299934597,11,$m = 2^{n-1}$,ours
4094,0.07762932100013131,12,$m = 2^{n-1}$,n-flow
3840,0.3063402150000911,12,$m = 2^{n-1}$,ours
8190,0.1299250279989792,13,$m = 2^{n-1}$,n-flow
7760,0.600757568001427,13,$m = 2^{n-1}$,ours
16382,0.3096309400007158,14,$m = 2^{n-1}$,n-flow
15498,1.3022432739999203,14,$m = 2^{n-1}$,ours
32766,0.8720782439995673,15,$m = 2^{n-1}$,n-flow
31872,2.724676150999585,15,$m = 2^{n-1}$,ours
65534,2.961724075001257,16,$m = 2^{n-1}$,n-flow
65158,6.504651384999306,16,$m = 2^{n-1}$,ours
131070,11.587250796999797,17,$m = 2^{n-1}$,n-flow
129392,15.934613135999825,17,$m = 2^{n-1}$,ours
262142,43.42473137500019,18,$m = 2^{n-1}$,n-flow
258746,43.49054584500118,18,$m = 2^{n-1}$,ours
524286,166.02682340699903,19,$m = 2^{n-1}$,n-flow
522928,132.58292942200023,19,$m = 2^{n-1}$,ours
1048574,571.7646865890001,20,$m = 2^{n-1}$,n-flow
1048206,466.83207462099926,20,$m = 2^{n-1}$,ours
5,0.04681118299959053,3,$m = 2^{n-1}$,n-flow
1,0.0008191489996534074,3,$m = 2^{n-1}$,ours
14,0.045935013999041985,4,$m = 2^{n-1}$,n-flow
9,40.74842111500038,4,$m = 2^{n-1}$,ours
30,0.050032439999995404,5,$m = 2^{n-1}$,n-flow
24,0.004053778000525199,5,$m = 2^{n-1}$,ours
62,0.04759552399991662,6,$m = 2^{n-1}$,n-flow
56,0.0064746579992061015,6,$m = 2^{n-1}$,ours
126,0.04878863200065098,7,$m = 2^{n-1}$,n-flow
120,0.010845005999726709,7,$m = 2^{n-1}$,ours
254,0.04822262199922989,8,$m = 2^{n-1}$,n-flow
226,0.02246607400047651,8,$m = 2^{n-1}$,ours
510,0.04914442500012228,9,$m = 2^{n-1}$,n-flow
