num_qubits,cx,time
3,2.5384615384615383,0.0015822348077562732
4,5.769230769230769,0.21038364892309308
5,8.807692307692308,1.0544028204615012
6,14.153846153846153,1.7683616003462772
7,20.115384615384617,0.7312218977307077
8,27.26923076923077,0.5980670529614914
9,36.61538461538461,0.5129513666154428
10,44.38461538461539,0.4264672748846141
11,53.57692307692308,0.43931280299994585
12,66.15384615384616,0.26205224742303607
13,78.1923076923077,0.12080619442314432
14,90.5,0.2551918536154377
15,106.1923076923077,0.11652656103849665
16,119.34615384615384,0.01325772665376668
17,139.07692307692307,0.03356956753840183
18,155.03846153846155,0.016186718538532464
19,172.57692307692307,0.03232845961551547
20,191.72,0.035272639359936825
