num_qubits,cx,time
3,4.038461538461538,0.01082385250020492
4,8.692307692307692,0.011486679653864018
5,13.807692307692308,0.014104709269269263
6,22.0,0.02014583496146275
7,30.192307692307693,0.021955209230852115
8,39.07692307692308,0.027921314153900277
9,51.46153846153846,0.03311117992297318
10,66.07692307692308,0.03990371069225004
11,79.61538461538461,0.04353703676913653
12,97.23076923076923,0.050251800884640124
13,113.76923076923077,0.05800017865389091
14,130.07692307692307,0.059562379423019
15,152.1153846153846,0.07366274230760325
16,172.26923076923077,0.08336167761539255
17,200.53846153846155,0.0937019218847406
18,216.84615384615384,0.10732872119220137
19,238.07692307692307,0.1260614671154004
20,267.04,0.17311192639997894
