,num_qubit,sparsity,baseline,ours,time
167,3,6,4,2,0.00622104900139675
168,3,6,32,3,0.013390146999881836
169,3,6,25,4,0.029984179000166478
170,3,6,27,3,0.012416468000083114
171,3,6,4,2,0.006047795000995393
172,3,6,4,3,0.012705017999905976
173,3,6,31,4,0.029638296000484843
174,3,6,24,3,0.013044561999777216
175,3,6,32,3,0.013258671999210492
176,3,6,20,3,0.01390153200009081
177,3,6,3,2,0.007776651998938178
178,3,6,3,2,0.0069258640014595585
179,3,7,20,6,0.03864185899874428
180,3,7,13,7,0.04591463699944143
181,3,7,21,6,0.04416836699965643
182,3,7,15,6,0.045183254000221496
183,3,7,22,6,0.0435384909997083
184,3,7,5,6,0.03919773199959309
185,3,7,17,6,0.0409942289988976
186,3,7,16,7,0.04578152800058888
